# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

@0, N/A, 4.1638590354, -4.1638590354, N/A, RNAV, INT
@77, N/A, -4.1638590354, -0.749494626373, N/A, RNAV, INT

@78, N/A, -4.1638590354, -0.832771807081, N/A, RNAV, INT

@79, N/A, -4.1638590354, -0.916048987789, N/A, RNAV, INT

@7A, N/A, -4.1638590354, -0.999326168497, N/A, RNAV, INT

@7B, N/A, -4.1638590354, -1.0826033492, N/A, RNAV, INT

@7C, N/A, -4.1638590354, -1.16588052991, N/A, RNAV, INT

@7D, N/A, -4.1638590354, -1.24915771062, N/A, RNAV, INT

@7E, N/A, -4.1638590354, -1.33243489133, N/A, RNAV, INT

@7F, N/A, -4.1638590354, -1.41571207204, N/A, RNAV, INT

@7G, N/A, -4.1638590354, -1.49898925275, N/A, RNAV, INT

@7H, N/A, -4.1638590354, -1.58226643345, N/A, RNAV, INT

@7I, N/A, -4.1638590354, -1.66554361416, N/A, RNAV, INT

@7J, N/A, -4.1638590354, -1.74882079487, N/A, RNAV, INT

@7K, N/A, -4.1638590354, -1.83209797558, N/A, RNAV, INT

@7L, N/A, -4.1638590354, -1.91537515629, N/A, RNAV, INT

@7M, N/A, -4.1638590354, -1.99865233699, N/A, RNAV, INT

@7N, N/A, -4.1638590354, -2.0819295177, N/A, RNAV, INT

@7O, N/A, -4.1638590354, -2.16520669841, N/A, RNAV, INT

@7P, N/A, -4.1638590354, -2.24848387912, N/A, RNAV, INT

@7Q, N/A, -4.1638590354, -2.33176105983, N/A, RNAV, INT

@7R, N/A, -4.1638590354, -2.41503824053, N/A, RNAV, INT

@7S, N/A, -4.1638590354, -2.49831542124, N/A, RNAV, INT

@7T, N/A, -4.1638590354, -2.58159260195, N/A, RNAV, INT

@7U, N/A, -4.1638590354, -2.66486978266, N/A, RNAV, INT

@7V, N/A, -4.1638590354, -2.74814696337, N/A, RNAV, INT

@7W, N/A, -4.1638590354, -2.83142414407, N/A, RNAV, INT

@7X, N/A, -4.1638590354, -2.91470132478, N/A, RNAV, INT

@7Y, N/A, -4.1638590354, -2.99797850549, N/A, RNAV, INT

@7Z, N/A, -4.1638590354, -3.0812556862, N/A, RNAV, INT

@80, N/A, -4.1638590354, -3.16453286691, N/A, RNAV, INT

@81, N/A, -4.1638590354, -3.24781004761, N/A, RNAV, INT

@82, N/A, -4.1638590354, -3.33108722832, N/A, RNAV, INT

@83, N/A, -4.1638590354, -3.41436440903, N/A, RNAV, INT

@84, N/A, -4.1638590354, -3.49764158974, N/A, RNAV, INT

@85, N/A, -4.1638590354, -3.58091877045, N/A, RNAV, INT

@86, N/A, -4.1638590354, -3.66419595116, N/A, RNAV, INT

@87, N/A, -4.1638590354, -3.74747313186, N/A, RNAV, INT

@88, N/A, -4.1638590354, -3.83075031257, N/A, RNAV, INT

@89, N/A, -4.1638590354, -3.91402749328, N/A, RNAV, INT

@8A, N/A, -4.1638590354, -3.99730467399, N/A, RNAV, INT

@8B, N/A, -4.1638590354, -4.0805818547, N/A, RNAV, INT

@8C, N/A, -4.1638590354, -4.1638590354, N/A, RNAV, INT

@8D, N/A, -4.0805818547, -4.1638590354, N/A, RNAV, INT

@8E, N/A, -3.99730467399, -4.1638590354, N/A, RNAV, INT

@8F, N/A, -3.91402749328, -4.1638590354, N/A, RNAV, INT

@8G, N/A, -3.83075031257, -4.1638590354, N/A, RNAV, INT

@8H, N/A, -3.74747313186, -4.1638590354, N/A, RNAV, INT

@8I, N/A, -3.66419595116, -4.1638590354, N/A, RNAV, INT

@8J, N/A, -3.58091877045, -4.1638590354, N/A, RNAV, INT

@8K, N/A, -3.49764158974, -4.1638590354, N/A, RNAV, INT

@8L, N/A, -3.41436440903, -4.1638590354, N/A, RNAV, INT

@8M, N/A, -3.33108722832, -4.1638590354, N/A, RNAV, INT

@8N, N/A, -3.24781004761, -4.1638590354, N/A, RNAV, INT

@8O, N/A, -3.16453286691, -4.1638590354, N/A, RNAV, INT

@8P, N/A, -3.0812556862, -4.1638590354, N/A, RNAV, INT

@8Q, N/A, -2.99797850549, -4.1638590354, N/A, RNAV, INT

@8R, N/A, -2.91470132478, -4.1638590354, N/A, RNAV, INT

@8S, N/A, -2.83142414407, -4.1638590354, N/A, RNAV, INT

@8T, N/A, -2.74814696337, -4.1638590354, N/A, RNAV, INT

@8U, N/A, -2.66486978266, -4.1638590354, N/A, RNAV, INT

@8V, N/A, -2.58159260195, -4.1638590354, N/A, RNAV, INT

@8W, N/A, -2.49831542124, -4.1638590354, N/A, RNAV, INT

@8X, N/A, -2.41503824053, -4.1638590354, N/A, RNAV, INT

@8Y, N/A, -2.33176105983, -4.1638590354, N/A, RNAV, INT

@8Z, N/A, -2.24848387912, -4.1638590354, N/A, RNAV, INT

@90, N/A, -2.16520669841, -4.1638590354, N/A, RNAV, INT

@91, N/A, -2.0819295177, -4.1638590354, N/A, RNAV, INT

@92, N/A, -1.99865233699, -4.1638590354, N/A, RNAV, INT

@93, N/A, -1.91537515629, -4.1638590354, N/A, RNAV, INT

@94, N/A, -1.83209797558, -4.1638590354, N/A, RNAV, INT

@95, N/A, -1.74882079487, -4.1638590354, N/A, RNAV, INT

@96, N/A, -1.66554361416, -4.1638590354, N/A, RNAV, INT

@97, N/A, -1.58226643345, -4.1638590354, N/A, RNAV, INT

@98, N/A, -1.49898925275, -4.1638590354, N/A, RNAV, INT

@99, N/A, -1.41571207204, -4.1638590354, N/A, RNAV, INT

@9A, N/A, -1.33243489133, -4.1638590354, N/A, RNAV, INT

@9B, N/A, -1.24915771062, -4.1638590354, N/A, RNAV, INT

@9C, N/A, -1.16588052991, -4.1638590354, N/A, RNAV, INT

@9D, N/A, -1.0826033492, -4.1638590354, N/A, RNAV, INT

@9E, N/A, -0.999326168497, -4.1638590354, N/A, RNAV, INT

@9F, N/A, -0.916048987789, -4.1638590354, N/A, RNAV, INT

@9G, N/A, -0.832771807081, -4.1638590354, N/A, RNAV, INT

@9H, N/A, -0.749494626373, -4.1638590354, N/A, RNAV, INT

@9I, N/A, -0.666217445665, -4.1638590354, N/A, RNAV, INT

@9J, N/A, -0.582940264957, -4.1638590354, N/A, RNAV, INT

@9K, N/A, -0.499663084248, -4.1638590354, N/A, RNAV, INT

@9L, N/A, -0.41638590354, -4.1638590354, N/A, RNAV, INT

@9M, N/A, -0.333108722832, -4.1638590354, N/A, RNAV, INT

@9N, N/A, -0.249831542124, -4.1638590354, N/A, RNAV, INT

@9O, N/A, -0.166554361416, -4.1638590354, N/A, RNAV, INT

@9P, N/A, -0.0832771807081, -4.1638590354, N/A, RNAV, INT

@9Q, N/A, 0.0, -4.1638590354, N/A, RNAV, INT

@9R, N/A, 0.0832771807081, -4.1638590354, N/A, RNAV, INT

@9S, N/A, 0.166554361416, -4.1638590354, N/A, RNAV, INT

@9T, N/A, 0.249831542124, -4.1638590354, N/A, RNAV, INT

@9U, N/A, 0.333108722832, -4.1638590354, N/A, RNAV, INT

@9V, N/A, 0.41638590354, -4.1638590354, N/A, RNAV, INT

@9W, N/A, 0.499663084248, -4.1638590354, N/A, RNAV, INT

@9X, N/A, 0.582940264957, -4.1638590354, N/A, RNAV, INT

@9Y, N/A, 0.666217445665, -4.1638590354, N/A, RNAV, INT

@9Z, N/A, 0.749494626373, -4.1638590354, N/A, RNAV, INT

@A0, N/A, 0.832771807081, -4.1638590354, N/A, RNAV, INT

@A1, N/A, 0.916048987789, -4.1638590354, N/A, RNAV, INT

